"Statistics","date","values"
"RECREATIONAL TOTAL (count)","2017-06 (Jun)",125
"FARM TOTAL (count)","2017-06 (Jun)",100
"OTHER/UNKNOWN TOTAL (count)","2017-06 (Jun)",39
"FMV Sum ($ sum)","2017-06 (Jun)",NA
"FMV Average ($ mean)","2017-06 (Jun)",NA
"FMV Median ($ median)","2017-06 (Jun)",NA
"PTT Paid ($ sum)","2017-06 (Jun)",NA
"PTT Paid Median ($ median)","2017-06 (Jun)",NA
"Foreign Involvement Transactions (count)","2017-06 (Jun)",466
"Foreign Involvement transactions - Residential (count)","2017-06 (Jun)",432
"Foreign Involvement transactions - Commercial (count)","2017-06 (Jun)",15
"Foreign Involvement transactions - Other (count)","2017-06 (Jun)",19
"FMV Sum of Foreign Involvement Transactions ($ sum)","2017-06 (Jun)",NA
"FMV Average of Foreign Involvement Transactions ($ mean)","2017-06 (Jun)",NA
"FMV Median of Foreign Involvement Transactions ($ median)","2017-06 (Jun)",NA
"Under $1 million (count, foreign involvement transactions)","2017-06 (Jun)",346
"$1 million - $3 million (count, foreign involvement transactions)","2017-06 (Jun)",95
"Over $3 million (count, foreign involvement transactions)","2017-06 (Jun)",25
"Additional Tax Paid ($ sum)","2017-06 (Jun)",NA
"Total Market Transactions (count)","2017-07 (Jul)",15390
"RESIDENTIAL TOTAL (count)","2017-07 (Jul)",14842
"RESIDENTIAL - ACREAGE (count)","2017-07 (Jul)",644
"RESIDENTIAL - COMMERCE (count)","2017-07 (Jul)",91
"RESIDENTIAL - FARM (count)","2017-07 (Jul)",92
"RESIDENTIAL - MULTI-FAMILY (count)","2017-07 (Jul)",102
"RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count)","2017-07 (Jul)",7054
"RESIDENTIAL - STRATA RESIDENTIAL (count)","2017-07 (Jul)",4988
"RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count)","2017-07 (Jul)",107
"RESIDENTIAL - OTHER (count)","2017-07 (Jul)",1764
"COMMERCIAL TOTAL (count)","2017-07 (Jul)",319
"COMMERCIAL - COMMERCE (count)","2017-07 (Jul)",146
"COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-07 (Jul)",122
"COMMERCIAL - OTHER (count)","2017-07 (Jul)",51
"RECREATIONAL TOTAL (count)","2017-07 (Jul)",81
"FARM TOTAL (count)","2017-07 (Jul)",91
"OTHER/UNKNOWN TOTAL (count)","2017-07 (Jul)",57
"FMV Sum ($ sum)","2017-07 (Jul)",NA
"FMV Average ($ mean)","2017-07 (Jul)",NA
"FMV Median ($ median)","2017-07 (Jul)",NA
"PTT Paid ($ sum)","2017-07 (Jul)",NA
"PTT Paid Median ($ median)","2017-07 (Jul)",NA
"Foreign Involvement Transactions (count)","2017-07 (Jul)",449
"Foreign Involvement transactions - Residential (count)","2017-07 (Jul)",417
"Foreign Involvement transactions - Commercial (count)","2017-07 (Jul)",8
"Foreign Involvement transactions - Other (count)","2017-07 (Jul)",24
"FMV Sum of Foreign Involvement Transactions ($ sum)","2017-07 (Jul)",NA
"FMV Average of Foreign Involvement Transactions ($ mean)","2017-07 (Jul)",NA
"FMV Median of Foreign Involvement Transactions ($ median)","2017-07 (Jul)",NA
"Under $1 million (count, foreign involvement transactions)","2017-07 (Jul)",340
"$1 million - $3 million (count, foreign involvement transactions)","2017-07 (Jul)",92
"Over $3 million (count, foreign involvement transactions)","2017-07 (Jul)",17
"Additional Tax Paid ($ sum)","2017-07 (Jul)",NA
"Total Market Transactions (count)","2017-08 (Aug)",16556
"RESIDENTIAL TOTAL (count)","2017-08 (Aug)",16077
"RESIDENTIAL - ACREAGE (count)","2017-08 (Aug)",715
"RESIDENTIAL - COMMERCE (count)","2017-08 (Aug)",72
"RESIDENTIAL - FARM (count)","2017-08 (Aug)",109
"RESIDENTIAL - MULTI-FAMILY (count)","2017-08 (Aug)",103
"RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count)","2017-08 (Aug)",7518
"RESIDENTIAL - STRATA RESIDENTIAL (count)","2017-08 (Aug)",5330
"RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count)","2017-08 (Aug)",148
"RESIDENTIAL - OTHER (count)","2017-08 (Aug)",2082
"COMMERCIAL TOTAL (count)","2017-08 (Aug)",259
"COMMERCIAL - COMMERCE (count)","2017-08 (Aug)",130
"COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-08 (Aug)",75
"COMMERCIAL - OTHER (count)","2017-08 (Aug)",54
"RECREATIONAL TOTAL (count)","2017-08 (Aug)",109
"FARM TOTAL (count)","2017-08 (Aug)",67
"OTHER/UNKNOWN TOTAL (count)","2017-08 (Aug)",44
"FMV Sum ($ sum)","2017-08 (Aug)",NA
"FMV Average ($ mean)","2017-08 (Aug)",NA
"FMV Median ($ median)","2017-08 (Aug)",NA
"PTT Paid ($ sum)","2017-08 (Aug)",NA
"PTT Paid Median ($ median)","2017-08 (Aug)",NA
"Foreign Involvement Transactions (count)","2017-08 (Aug)",474
"Foreign Involvement transactions - Residential (count)","2017-08 (Aug)",451
"Foreign Involvement transactions - Commercial (count)","2017-08 (Aug)",9
"Foreign Involvement transactions - Other (count)","2017-08 (Aug)",14
"FMV Sum of Foreign Involvement Transactions ($ sum)","2017-08 (Aug)",NA
"FMV Average of Foreign Involvement Transactions ($ mean)","2017-08 (Aug)",NA
"FMV Median of Foreign Involvement Transactions ($ median)","2017-08 (Aug)",NA
"Under $1 million (count, foreign involvement transactions)","2017-08 (Aug)",373
"$1 million - $3 million (count, foreign involvement transactions)","2017-08 (Aug)",89
"Over $3 million (count, foreign involvement transactions)","2017-08 (Aug)",12
"Additional Tax Paid ($ sum)","2017-08 (Aug)",NA
"Total Market Transactions (count)","2017-09 (Sep)",13823
"RESIDENTIAL TOTAL (count)","2017-09 (Sep)",13313
"RESIDENTIAL - ACREAGE (count)","2017-09 (Sep)",657
"RESIDENTIAL - COMMERCE (count)","2017-09 (Sep)",95
"RESIDENTIAL - FARM (count)","2017-09 (Sep)",112
"RESIDENTIAL - MULTI-FAMILY (count)","2017-09 (Sep)",86
"RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count)","2017-09 (Sep)",5852
"RESIDENTIAL - STRATA RESIDENTIAL (count)","2017-09 (Sep)",4208
"RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count)","2017-09 (Sep)",103
"RESIDENTIAL - OTHER (count)","2017-09 (Sep)",2200
"COMMERCIAL TOTAL (count)","2017-09 (Sep)",274
"COMMERCIAL - COMMERCE (count)","2017-09 (Sep)",121
"COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-09 (Sep)",70
"COMMERCIAL - OTHER (count)","2017-09 (Sep)",83
"RECREATIONAL TOTAL (count)","2017-09 (Sep)",95
"FARM TOTAL (count)","2017-09 (Sep)",96
"OTHER/UNKNOWN TOTAL (count)","2017-09 (Sep)",45
"FMV Sum ($ sum)","2017-09 (Sep)",NA
"FMV Average ($ mean)","2017-09 (Sep)",NA
"FMV Median ($ median)","2017-09 (Sep)",NA
"PTT Paid ($ sum)","2017-09 (Sep)",NA
"PTT Paid Median ($ median)","2017-09 (Sep)",NA
"Foreign Involvement Transactions (count)","2017-09 (Sep)",511
"Foreign Involvement transactions - Residential (count)","2017-09 (Sep)",490
"Foreign Involvement transactions - Commercial (count)","2017-09 (Sep)",10
"Foreign Involvement transactions - Other (count)","2017-09 (Sep)",11
"FMV Sum of Foreign Involvement Transactions ($ sum)","2017-09 (Sep)",NA
"FMV Average of Foreign Involvement Transactions ($ mean)","2017-09 (Sep)",NA
"FMV Median of Foreign Involvement Transactions ($ median)","2017-09 (Sep)",NA
"Under $1 million (count, foreign involvement transactions)","2017-09 (Sep)",421
"$1 million - $3 million (count, foreign involvement transactions)","2017-09 (Sep)",77
"Over $3 million (count, foreign involvement transactions)","2017-09 (Sep)",13
"Additional Tax Paid ($ sum)","2017-09 (Sep)",NA
"Total Market Transactions (count)","2017-10 (Oct)",13008
"RESIDENTIAL TOTAL (count)","2017-10 (Oct)",12306
"RESIDENTIAL - ACREAGE (count)","2017-10 (Oct)",653
"RESIDENTIAL - COMMERCE (count)","2017-10 (Oct)",99
"RESIDENTIAL - FARM (count)","2017-10 (Oct)",78
"RESIDENTIAL - MULTI-FAMILY (count)","2017-10 (Oct)",93
"RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count)","2017-10 (Oct)",5603
"RESIDENTIAL - STRATA RESIDENTIAL (count)","2017-10 (Oct)",4195
"RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count)","2017-10 (Oct)",108
"RESIDENTIAL - OTHER (count)","2017-10 (Oct)",1477
"COMMERCIAL TOTAL (count)","2017-10 (Oct)",464
"COMMERCIAL - COMMERCE (count)","2017-10 (Oct)",259
"COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-10 (Oct)",70
"COMMERCIAL - OTHER (count)","2017-10 (Oct)",135
"RECREATIONAL TOTAL (count)","2017-10 (Oct)",108
"FARM TOTAL (count)","2017-10 (Oct)",86
"OTHER/UNKNOWN TOTAL (count)","2017-10 (Oct)",44
"FMV Sum ($ sum)","2017-10 (Oct)",NA
"FMV Average ($ mean)","2017-10 (Oct)",NA
"FMV Median ($ median)","2017-10 (Oct)",NA
"PTT Paid ($ sum)","2017-10 (Oct)",NA
"PTT Paid Median ($ median)","2017-10 (Oct)",NA
"Foreign Involvement Transactions (count)","2017-10 (Oct)",354
"Foreign Involvement transactions - Residential (count)","2017-10 (Oct)",321
"Foreign Involvement transactions - Commercial (count)","2017-10 (Oct)",15
"Foreign Involvement transactions - Other (count)","2017-10 (Oct)",18
"FMV Sum of Foreign Involvement Transactions ($ sum)","2017-10 (Oct)",NA
"FMV Average of Foreign Involvement Transactions ($ mean)","2017-10 (Oct)",NA
"FMV Median of Foreign Involvement Transactions ($ median)","2017-10 (Oct)",NA
"Under $1 million (count, foreign involvement transactions)","2017-10 (Oct)",280
"$1 million - $3 million (count, foreign involvement transactions)","2017-10 (Oct)",51
"Over $3 million (count, foreign involvement transactions)","2017-10 (Oct)",23
"Additional Tax Paid ($ sum)","2017-10 (Oct)",NA
