DevelopmentRegion,RegionalDistrict,Municipality,Statistics,2016-06 (Jun),2016-07 (Jul),2016-08 (Aug),2016-09 (Sep),2016-10 (Oct),2016-11 (Nov),2016-12 (Dec)
Mainland/Southwest,SQUAMISH-LILLOOET,Rest of Squamish-Lillooet,Total Market Transactions (count),184,166,173,129,108,106,73
Mainland/Southwest,SQUAMISH-LILLOOET,Rest of Squamish-Lillooet,RESIDENTIAL TOTAL (count),176,161,161,122,102,96,71
Mainland/Southwest,SQUAMISH-LILLOOET,Rest of Squamish-Lillooet,RESIDENTIAL - ACREAGE (count),12,11,10,13,15,10,6
Mainland/Southwest,SQUAMISH-LILLOOET,Rest of Squamish-Lillooet,RESIDENTIAL - COMMERCE (count),3,7,2,NA,3,1,NA
Mainland/Southwest,SQUAMISH-LILLOOET,Rest of Squamish-Lillooet,RESIDENTIAL - FARM (count),1,NA,1,4,1,2,NA
Mainland/Southwest,SQUAMISH-LILLOOET,Rest of Squamish-Lillooet,RESIDENTIAL - MULTI-FAMILY (count),NA,2,NA,NA,NA,NA,1
Mainland/Southwest,SQUAMISH-LILLOOET,Rest of Squamish-Lillooet,RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count),86,69,68,44,32,38,25
Mainland/Southwest,SQUAMISH-LILLOOET,Rest of Squamish-Lillooet,RESIDENTIAL - STRATA RESIDENTIAL (count),67,50,52,40,22,28,34
Mainland/Southwest,SQUAMISH-LILLOOET,Rest of Squamish-Lillooet,RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count),3,3,2,5,NA,1,1
Mainland/Southwest,SQUAMISH-LILLOOET,Rest of Squamish-Lillooet,RESIDENTIAL - OTHER (count),4,19,26,16,29,16,4
Mainland/Southwest,SQUAMISH-LILLOOET,Rest of Squamish-Lillooet,COMMERCIAL TOTAL (count),5,2,3,6,6,10,1
Mainland/Southwest,SQUAMISH-LILLOOET,Rest of Squamish-Lillooet,COMMERCIAL - COMMERCE (count),2,1,NA,3,1,2,NA
Mainland/Southwest,SQUAMISH-LILLOOET,Rest of Squamish-Lillooet,COMMERCIAL - STRATA NON-RESIDENTIAL (count),3,NA,2,1,1,6,NA
Mainland/Southwest,SQUAMISH-LILLOOET,Rest of Squamish-Lillooet,COMMERCIAL - OTHER (count),NA,1,1,2,4,2,1
Mainland/Southwest,SQUAMISH-LILLOOET,Rest of Squamish-Lillooet,RECREATIONAL TOTAL (count),2,1,2,NA,NA,NA,NA
Mainland/Southwest,SQUAMISH-LILLOOET,Rest of Squamish-Lillooet,FARM TOTAL (count),NA,2,6,NA,NA,NA,1
Mainland/Southwest,SQUAMISH-LILLOOET,Rest of Squamish-Lillooet,OTHER/UNKNOWN TOTAL (count),1,NA,1,1,NA,NA,NA
Mainland/Southwest,SQUAMISH-LILLOOET,Rest of Squamish-Lillooet,FMV Sum ($ sum),"$111,523,315.15 ","$89,358,385.66 ","$97,232,811.10 ","$71,132,505.50 ","$50,082,759.00 ","$62,119,648.19 ","$35,556,950.08 "
Mainland/Southwest,SQUAMISH-LILLOOET,Rest of Squamish-Lillooet,FMV Average ($ mean),"$606,104.97 ","$538,303.53 ","$562,039.37 ","$551,414.77 ","$463,729.25 ","$586,034.42 ","$487,081.51 "
Mainland/Southwest,SQUAMISH-LILLOOET,Rest of Squamish-Lillooet,FMV Median ($ median),"$454,500.00 ","$424,900.00 ","$459,000.00 ","$419,900.00 ","$404,450.00 ","$447,565.00 ","$419,000.00 "
Mainland/Southwest,SQUAMISH-LILLOOET,Rest of Squamish-Lillooet,PTT Paid ($ sum),"$1,996,278.85 ","$1,442,934.53 ","$1,628,961.50 ","$1,171,072.94 ","$770,610.65 ","$1,027,446.96 ","$517,081.80 "
Mainland/Southwest,SQUAMISH-LILLOOET,Rest of Squamish-Lillooet,PTT Paid Median ($ median),"$7,090.00 ","$6,414.00 ","$6,998.00 ","$6,200.00 ","$5,450.00 ","$6,951.30 ","$5,100.00 "
Mainland/Southwest,SQUAMISH-LILLOOET,Whistler,Total Market Transactions (count),147,119,100,141,128,141,106
Mainland/Southwest,SQUAMISH-LILLOOET,Whistler,RESIDENTIAL TOTAL (count),118,79,94,129,115,123,92
Mainland/Southwest,SQUAMISH-LILLOOET,Whistler,RESIDENTIAL - ACREAGE (count),1,1,1,NA,1,1,NA
Mainland/Southwest,SQUAMISH-LILLOOET,Whistler,RESIDENTIAL - COMMERCE (count),NA,NA,NA,NA,2,1,1
Mainland/Southwest,SQUAMISH-LILLOOET,Whistler,RESIDENTIAL - FARM (count),NA,NA,NA,NA,NA,NA,NA
Mainland/Southwest,SQUAMISH-LILLOOET,Whistler,RESIDENTIAL - MULTI-FAMILY (count),NA,NA,1,NA,NA,NA,4
Mainland/Southwest,SQUAMISH-LILLOOET,Whistler,RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count),30,19,24,23,23,29,10
Mainland/Southwest,SQUAMISH-LILLOOET,Whistler,RESIDENTIAL - STRATA RESIDENTIAL (count),53,43,49,69,46,62,49
Mainland/Southwest,SQUAMISH-LILLOOET,Whistler,RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count),34,16,13,33,26,21,28
Mainland/Southwest,SQUAMISH-LILLOOET,Whistler,RESIDENTIAL - OTHER (count),NA,NA,6,4,17,9,NA
Mainland/Southwest,SQUAMISH-LILLOOET,Whistler,COMMERCIAL TOTAL (count),1,29,3,1,NA,4,2
Mainland/Southwest,SQUAMISH-LILLOOET,Whistler,COMMERCIAL - COMMERCE (count),NA,NA,NA,NA,NA,NA,NA
Mainland/Southwest,SQUAMISH-LILLOOET,Whistler,COMMERCIAL - STRATA NON-RESIDENTIAL (count),1,29,3,1,NA,2,2
Mainland/Southwest,SQUAMISH-LILLOOET,Whistler,COMMERCIAL - OTHER (count),NA,NA,NA,NA,NA,2,NA
Mainland/Southwest,SQUAMISH-LILLOOET,Whistler,RECREATIONAL TOTAL (count),28,11,3,10,13,14,12
Mainland/Southwest,SQUAMISH-LILLOOET,Whistler,FARM TOTAL (count),NA,NA,NA,NA,NA,NA,NA
Mainland/Southwest,SQUAMISH-LILLOOET,Whistler,OTHER/UNKNOWN TOTAL (count),NA,NA,NA,1,NA,NA,NA
Mainland/Southwest,SQUAMISH-LILLOOET,Whistler,FMV Sum ($ sum),"$118,246,656.72 ","$69,130,096.67 ","$99,309,482.71 ","$89,361,369.00 ","$87,122,049.02 ","$128,975,083.60 ","$62,114,347.48 "
Mainland/Southwest,SQUAMISH-LILLOOET,Whistler,FMV Average ($ mean),"$804,399.03 ","$580,925.18 ","$993,094.83 ","$633,768.57 ","$680,641.01 ","$914,716.90 ","$585,984.41 "
Mainland/Southwest,SQUAMISH-LILLOOET,Whistler,FMV Median ($ median),"$535,000.00 ","$401,000.00 ","$723,000.00 ","$436,900.00 ","$475,000.00 ","$580,000.00 ","$340,500.00 "
Mainland/Southwest,SQUAMISH-LILLOOET,Whistler,PTT Paid ($ sum),"$2,300,697.61 ","$1,189,494.77 ","$1,935,679.51 ","$1,612,208.66 ","$1,571,365.45 ","$2,497,770.47 ","$1,119,298.07 "
Mainland/Southwest,SQUAMISH-LILLOOET,Whistler,PTT Paid Median ($ median),"$8,700.00 ","$6,020.00 ","$11,395.00 ","$6,738.00 ","$7,500.00 ","$9,600.00 ","$4,810.00 "
Mainland/Southwest,METRO VANCOUVER,Burnaby,Foreign Involvement Transactions (count),81,208,6,23,18,35,27
Mainland/Southwest,METRO VANCOUVER,Burnaby,FMV Sum of Foreign Involvement Transactions ($ sum),"$83,922,968.52 ","$172,697,207.76 ","$5,278,000.00 ","$45,252,906.00 ","$11,227,000.00 ","$21,323,000.00 ","$19,043,400.00 "
Mainland/Southwest,METRO VANCOUVER,Burnaby,FMV Average of Foreign Involvement Transactions ($ mean),"$1,036,086.03 ","$830,275.04 ","$879,666.67 ","$1,967,517.65 ","$623,722.22 ","$609,228.57 ","$705,311.11 "
Mainland/Southwest,METRO VANCOUVER,Burnaby,FMV Median of Foreign Involvement Transactions ($ median),"$600,000.00 ","$517,750.00 ","$482,000.00 ","$600,000.00 ","$593,750.00 ","$524,900.00 ","$510,000.00 "
Mainland/Southwest,METRO VANCOUVER,Burnaby,Additional Tax Paid ($ sum),NA,NA,"$168,546.00 ","$1,805,205.00 ","$1,413,780.00 ","$2,797,632.30 ","$1,752,494.99 "
Mainland/Southwest,METRO VANCOUVER,Richmond,Foreign Involvement Transactions (count),115,216,12,30,54,68,32
Mainland/Southwest,METRO VANCOUVER,Richmond,FMV Sum of Foreign Involvement Transactions ($ sum),"$131,296,426.10 ","$239,426,797.42 ","$9,240,000.00 ","$27,697,871.00 ","$38,400,433.20 ","$51,295,133.48 ","$45,764,973.45 "
Mainland/Southwest,METRO VANCOUVER,Richmond,FMV Average of Foreign Involvement Transactions ($ mean),"$1,141,708.05 ","$1,108,457.40 ","$770,000.00 ","$923,262.37 ","$711,119.13 ","$754,340.20 ","$1,430,155.42 "
Mainland/Southwest,METRO VANCOUVER,Richmond,FMV Median of Foreign Involvement Transactions ($ median),"$689,900.00 ","$740,750.00 ","$474,900.00 ","$470,450.00 ","$501,400.00 ","$471,650.00 ","$585,000.00 "
Mainland/Southwest,METRO VANCOUVER,Richmond,Additional Tax Paid ($ sum),NA,NA,"$598,035.14 ","$1,309,864.05 ","$5,141,953.85 ","$6,081,428.32 ","$1,915,482.52 "
Mainland/Southwest,METRO VANCOUVER,Surrey,Foreign Involvement Transactions (count),162,177,10,19,9,15,55
Mainland/Southwest,METRO VANCOUVER,Surrey,FMV Sum of Foreign Involvement Transactions ($ sum),"$144,932,877.62 ","$187,509,522.48 ","$6,669,913.00 ","$35,028,634.68 ","$5,957,660.60 ","$13,345,320.81 ","$22,718,766.91 "
Mainland/Southwest,METRO VANCOUVER,Surrey,FMV Average of Foreign Involvement Transactions ($ mean),"$894,647.39 ","$1,059,375.83 ","$666,991.30 ","$1,843,612.35 ","$661,962.29 ","$889,688.05 ","$413,068.49 "
Mainland/Southwest,METRO VANCOUVER,Surrey,FMV Median of Foreign Involvement Transactions ($ median),"$799,900.00 ","$935,000.00 ","$472,450.00 ","$930,000.00 ","$542,900.00 ","$795,000.00 ","$260,000.00 "
Mainland/Southwest,METRO VANCOUVER,Surrey,Additional Tax Paid ($ sum),NA,NA,"$235,425.17 ","$896,415.40 ","$432,586.30 ","$1,630,229.25 ","$3,143,497.19 "
Mainland/Southwest,METRO VANCOUVER,Vancouver,Foreign Involvement Transactions (count),195,364,15,37,26,51,37
Mainland/Southwest,METRO VANCOUVER,Vancouver,FMV Sum of Foreign Involvement Transactions ($ sum),"$360,588,084.24 ","$654,263,616.64 ","$24,135,004.00 ","$140,337,540.00 ","$28,900,000.00 ","$82,880,247.37 ","$54,168,376.19 "
Mainland/Southwest,METRO VANCOUVER,Vancouver,FMV Average of Foreign Involvement Transactions ($ mean),"$1,849,169.66 ","$1,797,427.52 ","$1,609,000.27 ","$3,792,906.49 ","$1,111,538.46 ","$1,625,102.89 ","$1,464,010.17 "
Mainland/Southwest,METRO VANCOUVER,Vancouver,FMV Median of Foreign Involvement Transactions ($ median),"$868,000.00 ","$785,200.00 ","$619,000.00 ","$1,630,000.00 ","$693,950.00 ","$1,374,900.00 ","$828,000.00 "
Mainland/Southwest,METRO VANCOUVER,Vancouver,Additional Tax Paid ($ sum),NA,NA,"$974,542.95 ","$2,836,086.45 ","$3,178,222.35 ","$10,127,168.10 ","$6,868,585.17 "
Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,Foreign Involvement Transactions (count),342,376,19,46,36,40,26
Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,FMV Sum of Foreign Involvement Transactions ($ sum),"$351,165,374.74 ","$506,267,173.11 ","$19,287,060.47 ","$111,797,566.47 ","$32,391,048.23 ","$43,594,942.10 ","$51,601,061.90 "
Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,FMV Average of Foreign Involvement Transactions ($ mean),"$1,026,799.34 ","$1,346,455.25 ","$1,015,108.45 ","$2,430,381.88 ","$899,751.34 ","$1,089,873.55 ","$1,984,656.23 "
Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,FMV Median of Foreign Involvement Transactions ($ median),"$690,000.00 ","$972,500.00 ","$960,000.00 ","$1,563,403.00 ","$490,350.00 ","$498,450.00 ","$564,275.00 "
Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,Additional Tax Paid ($ sum),NA,NA,"$365,995.90 ","$2,059,109.42 ","$3,160,324.13 ","$3,428,164.53 ","$1,962,530.94 "
Thompson/Okanagan,CENTRAL OKANAGAN,Kelowna,Total Market Transactions (count),780,694,775,661,519,506,411
Thompson/Okanagan,CENTRAL OKANAGAN,Kelowna,RESIDENTIAL TOTAL (count),762,688,760,639,503,484,399
Thompson/Okanagan,CENTRAL OKANAGAN,Kelowna,RESIDENTIAL - ACREAGE (count),20,19,10,13,14,18,7
Thompson/Okanagan,CENTRAL OKANAGAN,Kelowna,RESIDENTIAL - COMMERCE (count),2,2,7,4,NA,2,2
Thompson/Okanagan,CENTRAL OKANAGAN,Kelowna,RESIDENTIAL - FARM (count),1,2,1,4,7,3,1
Thompson/Okanagan,CENTRAL OKANAGAN,Kelowna,RESIDENTIAL - MULTI-FAMILY (count),4,4,NA,NA,NA,2,3
Thompson/Okanagan,CENTRAL OKANAGAN,Kelowna,RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count),453,377,421,282,198,210,181
Thompson/Okanagan,CENTRAL OKANAGAN,Kelowna,RESIDENTIAL - STRATA RESIDENTIAL (count),244,214,255,213,136,172,177
Thompson/Okanagan,CENTRAL OKANAGAN,Kelowna,RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count),NA,3,4,5,2,5,1
Thompson/Okanagan,CENTRAL OKANAGAN,Kelowna,RESIDENTIAL - OTHER (count),38,67,62,118,146,72,27
Thompson/Okanagan,CENTRAL OKANAGAN,Kelowna,COMMERCIAL TOTAL (count),10,5,11,18,11,14,7
Thompson/Okanagan,CENTRAL OKANAGAN,Kelowna,COMMERCIAL - COMMERCE (count),8,2,4,8,5,5,6
Thompson/Okanagan,CENTRAL OKANAGAN,Kelowna,COMMERCIAL - STRATA NON-RESIDENTIAL (count),NA,2,4,8,NA,3,NA
Thompson/Okanagan,CENTRAL OKANAGAN,Kelowna,COMMERCIAL - OTHER (count),2,1,3,2,6,6,1
Thompson/Okanagan,CENTRAL OKANAGAN,Kelowna,RECREATIONAL TOTAL (count),4,1,1,4,3,5,NA
Thompson/Okanagan,CENTRAL OKANAGAN,Kelowna,FARM TOTAL (count),3,NA,1,NA,2,2,5
Thompson/Okanagan,CENTRAL OKANAGAN,Kelowna,OTHER/UNKNOWN TOTAL (count),1,NA,2,NA,NA,1,NA
Thompson/Okanagan,CENTRAL OKANAGAN,Kelowna,FMV Sum ($ sum),"$424,064,560.43 ","$357,857,765.60 ","$402,174,153.91 ","$341,304,316.47 ","$291,949,866.36 ","$256,874,282.40 ","$233,701,305.36 "
Thompson/Okanagan,CENTRAL OKANAGAN,Kelowna,FMV Average ($ mean),"$543,672.51 ","$515,645.20 ","$518,934.39 ","$516,345.41 ","$562,523.83 ","$507,656.68 ","$568,616.31 "
Thompson/Okanagan,CENTRAL OKANAGAN,Kelowna,FMV Median ($ median),"$440,000.00 ","$420,000.00 ","$440,000.00 ","$425,000.00 ","$441,900.00 ","$388,750.00 ","$379,900.00 "
Thompson/Okanagan,CENTRAL OKANAGAN,Kelowna,PTT Paid ($ sum),"$6,893,001.66 ","$5,802,240.60 ","$6,414,156.16 ","$5,492,670.72 ","$4,935,211.81 ","$4,108,988.83 ","$3,984,390.35 "
Thompson/Okanagan,CENTRAL OKANAGAN,Kelowna,PTT Paid Median ($ median),"$6,575.00 ","$6,144.00 ","$6,600.00 ","$6,200.00 ","$6,680.00 ","$5,215.50 ","$5,118.00 "
Thompson/Okanagan,CENTRAL OKANAGAN,Rest of Central Okanagan,Total Market Transactions (count),297,289,273,270,197,174,118
Thompson/Okanagan,CENTRAL OKANAGAN,Rest of Central Okanagan,RESIDENTIAL TOTAL (count),285,287,271,265,194,168,118
Thompson/Okanagan,CENTRAL OKANAGAN,Rest of Central Okanagan,RESIDENTIAL - ACREAGE (count),10,8,7,7,8,6,4
Thompson/Okanagan,CENTRAL OKANAGAN,Rest of Central Okanagan,RESIDENTIAL - COMMERCE (count),3,1,NA,1,NA,NA,1
Thompson/Okanagan,CENTRAL OKANAGAN,Rest of Central Okanagan,RESIDENTIAL - FARM (count),6,1,NA,1,1,2,3
Thompson/Okanagan,CENTRAL OKANAGAN,Rest of Central Okanagan,RESIDENTIAL - MULTI-FAMILY (count),1,NA,NA,4,1,1,NA
Thompson/Okanagan,CENTRAL OKANAGAN,Rest of Central Okanagan,RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count),211,205,175,153,105,94,86
Thompson/Okanagan,CENTRAL OKANAGAN,Rest of Central Okanagan,RESIDENTIAL - STRATA RESIDENTIAL (count),47,48,60,59,29,35,22
Thompson/Okanagan,CENTRAL OKANAGAN,Rest of Central Okanagan,RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count),NA,NA,NA,NA,1,NA,1
Thompson/Okanagan,CENTRAL OKANAGAN,Rest of Central Okanagan,RESIDENTIAL - OTHER (count),7,24,29,40,49,30,1
Thompson/Okanagan,CENTRAL OKANAGAN,Rest of Central Okanagan,COMMERCIAL TOTAL (count),5,NA,2,2,1,5,NA
Thompson/Okanagan,CENTRAL OKANAGAN,Rest of Central Okanagan,COMMERCIAL - COMMERCE (count),3,NA,2,NA,NA,NA,NA
Thompson/Okanagan,CENTRAL OKANAGAN,Rest of Central Okanagan,COMMERCIAL - STRATA NON-RESIDENTIAL (count),NA,NA,NA,NA,1,4,NA
Thompson/Okanagan,CENTRAL OKANAGAN,Rest of Central Okanagan,COMMERCIAL - OTHER (count),2,NA,NA,2,NA,1,NA
Thompson/Okanagan,CENTRAL OKANAGAN,Rest of Central Okanagan,RECREATIONAL TOTAL (count),2,1,NA,1,NA,NA,NA
Thompson/Okanagan,CENTRAL OKANAGAN,Rest of Central Okanagan,FARM TOTAL (count),4,1,NA,2,2,1,NA
Thompson/Okanagan,CENTRAL OKANAGAN,Rest of Central Okanagan,OTHER/UNKNOWN TOTAL (count),1,NA,NA,NA,NA,NA,NA
Thompson/Okanagan,CENTRAL OKANAGAN,Rest of Central Okanagan,FMV Sum ($ sum),"$155,064,063.37 ","$147,464,295.45 ","$135,216,626.84 ","$166,553,290.40 ","$100,706,750.31 ","$88,540,443.62 ","$60,672,511.31 "
Thompson/Okanagan,CENTRAL OKANAGAN,Rest of Central Okanagan,FMV Average ($ mean),"$522,101.22 ","$510,257.08 ","$495,299.00 ","$616,864.04 ","$511,201.78 ","$508,853.12 ","$514,173.82 "
Thompson/Okanagan,CENTRAL OKANAGAN,Rest of Central Okanagan,FMV Median ($ median),"$455,000.00 ","$472,900.00 ","$435,000.00 ","$439,350.00 ","$465,000.00 ","$423,950.00 ","$444,950.00 "
Thompson/Okanagan,CENTRAL OKANAGAN,Rest of Central Okanagan,PTT Paid ($ sum),"$2,477,212.92 ","$2,242,431.33 ","$2,135,958.88 ","$2,913,151.42 ","$1,539,523.98 ","$1,390,931.60 ","$892,112.94 "
Thompson/Okanagan,CENTRAL OKANAGAN,Rest of Central Okanagan,PTT Paid Median ($ median),"$6,770.00 ","$6,600.00 ","$6,500.00 ","$6,600.00 ","$6,798.00 ","$5,869.00 ","$5,900.00 "
Vancouver Island/Coast,CAPITAL,Peninsula & Westshore,Total Market Transactions (count),405,404,321,278,271,238,165
Vancouver Island/Coast,CAPITAL,Peninsula & Westshore,RESIDENTIAL TOTAL (count),397,397,320,269,265,223,144
Vancouver Island/Coast,CAPITAL,Peninsula & Westshore,RESIDENTIAL - ACREAGE (count),20,14,18,13,20,21,12
Vancouver Island/Coast,CAPITAL,Peninsula & Westshore,RESIDENTIAL - COMMERCE (count),1,1,2,2,NA,1,3
Vancouver Island/Coast,CAPITAL,Peninsula & Westshore,RESIDENTIAL - FARM (count),3,3,2,NA,NA,3,NA
Vancouver Island/Coast,CAPITAL,Peninsula & Westshore,RESIDENTIAL - MULTI-FAMILY (count),NA,NA,2,NA,NA,NA,NA
Vancouver Island/Coast,CAPITAL,Peninsula & Westshore,RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count),235,215,196,162,96,125,94
Vancouver Island/Coast,CAPITAL,Peninsula & Westshore,RESIDENTIAL - STRATA RESIDENTIAL (count),89,76,64,41,32,49,26
Vancouver Island/Coast,CAPITAL,Peninsula & Westshore,RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count),1,NA,NA,3,1,NA,1
Vancouver Island/Coast,CAPITAL,Peninsula & Westshore,RESIDENTIAL - OTHER (count),48,88,36,48,116,24,8
Vancouver Island/Coast,CAPITAL,Peninsula & Westshore,COMMERCIAL TOTAL (count),7,5,1,4,5,15,19
Vancouver Island/Coast,CAPITAL,Peninsula & Westshore,COMMERCIAL - COMMERCE (count),2,1,NA,2,2,NA,NA
Vancouver Island/Coast,CAPITAL,Peninsula & Westshore,COMMERCIAL - STRATA NON-RESIDENTIAL (count),2,1,1,1,NA,2,17
Vancouver Island/Coast,CAPITAL,Peninsula & Westshore,COMMERCIAL - OTHER (count),3,3,NA,1,3,13,2
Vancouver Island/Coast,CAPITAL,Peninsula & Westshore,RECREATIONAL TOTAL (count),NA,NA,NA,1,NA,NA,NA
Vancouver Island/Coast,CAPITAL,Peninsula & Westshore,FARM TOTAL (count),1,NA,NA,2,NA,NA,1
Vancouver Island/Coast,CAPITAL,Peninsula & Westshore,OTHER/UNKNOWN TOTAL (count),NA,2,NA,2,1,NA,1
Vancouver Island/Coast,CAPITAL,Peninsula & Westshore,FMV Sum ($ sum),"$210,194,655.21 ","$216,165,117.81 ","$179,947,876.91 ","$167,965,105.25 ","$159,982,116.89 ","$140,932,793.76 ","$93,285,201.65 "
Vancouver Island/Coast,CAPITAL,Peninsula & Westshore,FMV Average ($ mean),"$518,999.15 ","$535,062.17 ","$560,585.29 ","$604,191.03 ","$590,339.91 ","$592,154.60 ","$565,364.86 "
Vancouver Island/Coast,CAPITAL,Peninsula & Westshore,FMV Median ($ median),"$455,000.00 ","$420,000.00 ","$475,000.00 ","$465,750.00 ","$475,000.00 ","$466,833.34 ","$492,000.00 "
Vancouver Island/Coast,CAPITAL,Peninsula & Westshore,PTT Paid ($ sum),"$3,132,678.77 ","$3,377,844.76 ","$2,770,104.17 ","$2,826,684.23 ","$2,343,369.76 ","$2,286,043.54 ","$1,432,180.72 "
Vancouver Island/Coast,CAPITAL,Peninsula & Westshore,PTT Paid Median ($ median),"$6,600.00 ","$5,555.00 ","$7,100.00 ","$6,895.00 ","$6,300.00 ","$6,880.00 ","$7,300.00 "
Vancouver Island/Coast,CAPITAL,"Victoria, Esquimalt, Oak Bay, Saanich & View Royal",Total Market Transactions (count),1190,904,996,819,636,641,625
Vancouver Island/Coast,CAPITAL,"Victoria, Esquimalt, Oak Bay, Saanich & View Royal",RESIDENTIAL TOTAL (count),1170,894,986,805,614,625,591
Vancouver Island/Coast,CAPITAL,"Victoria, Esquimalt, Oak Bay, Saanich & View Royal",RESIDENTIAL - ACREAGE (count),12,12,15,17,6,13,9
Vancouver Island/Coast,CAPITAL,"Victoria, Esquimalt, Oak Bay, Saanich & View Royal",RESIDENTIAL - COMMERCE (count),4,4,3,3,4,5,3
Vancouver Island/Coast,CAPITAL,"Victoria, Esquimalt, Oak Bay, Saanich & View Royal",RESIDENTIAL - FARM (count),1,1,2,4,1,NA,NA
Vancouver Island/Coast,CAPITAL,"Victoria, Esquimalt, Oak Bay, Saanich & View Royal",RESIDENTIAL - MULTI-FAMILY (count),16,16,19,24,8,17,5
Vancouver Island/Coast,CAPITAL,"Victoria, Esquimalt, Oak Bay, Saanich & View Royal",RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count),567,481,520,323,217,306,244
Vancouver Island/Coast,CAPITAL,"Victoria, Esquimalt, Oak Bay, Saanich & View Royal",RESIDENTIAL - STRATA RESIDENTIAL (count),420,336,378,274,157,230,238
Vancouver Island/Coast,CAPITAL,"Victoria, Esquimalt, Oak Bay, Saanich & View Royal",RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count),94,3,5,2,2,11,6
Vancouver Island/Coast,CAPITAL,"Victoria, Esquimalt, Oak Bay, Saanich & View Royal",RESIDENTIAL - OTHER (count),56,41,44,158,219,43,86
Vancouver Island/Coast,CAPITAL,"Victoria, Esquimalt, Oak Bay, Saanich & View Royal",COMMERCIAL TOTAL (count),18,8,9,12,17,14,32
Vancouver Island/Coast,CAPITAL,"Victoria, Esquimalt, Oak Bay, Saanich & View Royal",COMMERCIAL - COMMERCE (count),9,2,8,6,13,6,16
Vancouver Island/Coast,CAPITAL,"Victoria, Esquimalt, Oak Bay, Saanich & View Royal",COMMERCIAL - STRATA NON-RESIDENTIAL (count),2,5,1,2,NA,8,6
Vancouver Island/Coast,CAPITAL,"Victoria, Esquimalt, Oak Bay, Saanich & View Royal",COMMERCIAL - OTHER (count),7,1,NA,4,4,NA,10
Vancouver Island/Coast,CAPITAL,"Victoria, Esquimalt, Oak Bay, Saanich & View Royal",RECREATIONAL TOTAL (count),NA,NA,NA,1,1,NA,NA
Vancouver Island/Coast,CAPITAL,"Victoria, Esquimalt, Oak Bay, Saanich & View Royal",FARM TOTAL (count),1,NA,NA,1,NA,NA,1
Vancouver Island/Coast,CAPITAL,"Victoria, Esquimalt, Oak Bay, Saanich & View Royal",OTHER/UNKNOWN TOTAL (count),1,2,1,NA,4,2,1
Vancouver Island/Coast,CAPITAL,"Victoria, Esquimalt, Oak Bay, Saanich & View Royal",FMV Sum ($ sum),"$740,487,859.34 ","$591,979,497.55 ","$627,195,144.17 ","$556,337,473.69 ","$418,826,051.20 ","$401,036,299.99 ",$2.00 
Vancouver Island/Coast,CAPITAL,"Victoria, Esquimalt, Oak Bay, Saanich & View Royal",FMV Average ($ mean),"$622,258.71 ","$654,844.58 ","$629,714.00 ","$679,288.73 ","$658,531.53 ","$625,641.65 ","$638,296.90 "
Vancouver Island/Coast,CAPITAL,"Victoria, Esquimalt, Oak Bay, Saanich & View Royal",FMV Median ($ median),"$500,000.00 ","$549,000.00 ","$540,000.00 ","$529,000.00 ","$550,000.00 ","$508,500.00 ","$434,000.00 "
Vancouver Island/Coast,CAPITAL,"Victoria, Esquimalt, Oak Bay, Saanich & View Royal",PTT Paid ($ sum),"$12,607,898.63 ","$10,169,247.95 ","$10,655,834.69 ","$9,782,226.07 ","$7,068,544.18 ","$6,844,313.82 ","$7,236,234.35 "
Vancouver Island/Coast,CAPITAL,"Victoria, Esquimalt, Oak Bay, Saanich & View Royal",PTT Paid Median ($ median),"$7,798.00 ","$8,780.00 ","$8,660.00 ","$8,200.00 ","$8,326.34 ","$7,900.00 ","$6,247.96 "
Vancouver Island/Coast,NANAIMO,Nanaimo,Total Market Transactions (count),571,380,524,440,387,327,215
Vancouver Island/Coast,NANAIMO,Nanaimo,RESIDENTIAL TOTAL (count),564,374,510,426,378,318,207
Vancouver Island/Coast,NANAIMO,Nanaimo,RESIDENTIAL - ACREAGE (count),13,8,22,13,20,11,6
Vancouver Island/Coast,NANAIMO,Nanaimo,RESIDENTIAL - COMMERCE (count),1,2,2,1,1,6,2
Vancouver Island/Coast,NANAIMO,Nanaimo,RESIDENTIAL - FARM (count),1,NA,2,2,NA,NA,NA
Vancouver Island/Coast,NANAIMO,Nanaimo,RESIDENTIAL - MULTI-FAMILY (count),3,2,2,4,1,1,2
