"DevelopmentRegion","RegionalDistrict","Municipality","Statistics","date","values"
"Mainland/Southwest","FRASER VALLEY","Abbotsford","FMV Sum ($ sum)","2016-11 (Nov)",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","FMV Sum ($ sum)","2016-12 (Dec)",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","OTHER/UNKNOWN TOTAL (count)","2016-06 (Jun)",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","OTHER/UNKNOWN TOTAL (count)","2016-07 (Jul)",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","OTHER/UNKNOWN TOTAL (count)","2016-08 (Aug)",3
"Mainland/Southwest","FRASER VALLEY","Abbotsford","OTHER/UNKNOWN TOTAL (count)","2016-09 (Sep)",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","OTHER/UNKNOWN TOTAL (count)","2016-10 (Oct)",1
"Mainland/Southwest","FRASER VALLEY","Abbotsford","OTHER/UNKNOWN TOTAL (count)","2016-11 (Nov)",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","OTHER/UNKNOWN TOTAL (count)","2016-12 (Dec)",2
"Mainland/Southwest","FRASER VALLEY","Abbotsford","PTT Paid ($ sum)","2016-06 (Jun)",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","PTT Paid ($ sum)","2016-07 (Jul)",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","PTT Paid ($ sum)","2016-08 (Aug)",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","PTT Paid ($ sum)","2016-09 (Sep)",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","PTT Paid ($ sum)","2016-10 (Oct)",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","PTT Paid ($ sum)","2016-11 (Nov)",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","PTT Paid ($ sum)","2016-12 (Dec)",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","PTT Paid Median ($ median)","2016-06 (Jun)",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","PTT Paid Median ($ median)","2016-07 (Jul)",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","PTT Paid Median ($ median)","2016-08 (Aug)",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","PTT Paid Median ($ median)","2016-09 (Sep)",NA
