"DevelopmentRegion","RegionalDistrict","Municipality","Statistics","date","values"
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - COMMERCE (count)","2016-08",3
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - COMMERCE (count)","2016-09",1
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - COMMERCE (count)","2016-10",5
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - COMMERCE (count)","2016-11",1
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - COMMERCE (count)","2016-12",1
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - FARM (count)","2016-06",11
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - FARM (count)","2016-07",8
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - FARM (count)","2016-08",9
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - FARM (count)","2016-09",12
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - FARM (count)","2016-10",7
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - FARM (count)","2016-11",2
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - FARM (count)","2016-12",6
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - MULTI-FAMILY (count)","2016-06",2
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - MULTI-FAMILY (count)","2016-07",3
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - MULTI-FAMILY (count)","2016-08",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - MULTI-FAMILY (count)","2016-09",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - MULTI-FAMILY (count)","2016-10",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - MULTI-FAMILY (count)","2016-11",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - MULTI-FAMILY (count)","2016-12",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - OTHER (count)","2016-06",29
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - OTHER (count)","2016-07",33
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - OTHER (count)","2016-08",21
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - OTHER (count)","2016-09",27
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - OTHER (count)","2016-10",77
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - OTHER (count)","2016-11",39
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - OTHER (count)","2016-12",1
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count)","2016-06",373
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count)","2016-07",291
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count)","2016-08",265
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count)","2016-09",189
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count)","2016-10",131
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count)","2016-11",146
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count)","2016-12",103
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count)","2016-06",2
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count)","2016-07",7
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count)","2016-08",1
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count)","2016-09",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count)","2016-10",3
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count)","2016-11",7
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count)","2016-12",17
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - STRATA RESIDENTIAL (count)","2016-06",197
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - STRATA RESIDENTIAL (count)","2016-07",190
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - STRATA RESIDENTIAL (count)","2016-08",182
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - STRATA RESIDENTIAL (count)","2016-09",153
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - STRATA RESIDENTIAL (count)","2016-10",118
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - STRATA RESIDENTIAL (count)","2016-11",147
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - STRATA RESIDENTIAL (count)","2016-12",143
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL TOTAL (count)","2016-06",635
